Link,Nome,Preço
https://www.kabum.com.br/produto/393428,"Processador Intel Xeon E-2324G, 3.1GHz (Turbo 4.6GHz), Cache 8MB, LGA 1200 - BX80708E2324G","R$ 2.983,49"
https://www.kabum.com.br/produto/401448,"Processador Intel Core I5-2400, 3.1GHz, Cache 6MB, Quad Core, LGA 1155, OEM","R$ 79,00"
https://www.kabum.com.br/produto/404075,"Processador Intel Core I3 2120, 3.30GHz, Cache 3MB, LGA 1155","R$ 153,90"
https://www.kabum.com.br/produto/463668,"Processador Core I3 2100, 3.1ghz, 3mb, Lga 1155","R$ 207,03"
https://www.kabum.com.br/produto/462367,"Processador Core I3 9100 LGA 1151,  Oem Tray, Sem Cooler","R$ 1.306,60"
https://www.kabum.com.br/produto/459577,"Processador Intel Pentium E5700, 2MB, 3GHz, LGA 775 - Bx80571e5700","R$ 102,45"
https://www.kabum.com.br/produto/455560,"Processador Intel I7 4790, Oem Lga1150","R$ 998,41"
https://www.kabum.com.br/produto/460943,"Processador Intel Core I5,12600k, 3.7ghz 4.9ghz Max Turbo Cache 20mb LGA1700 - BX8071512600K","R$ 2.361,01"
https://www.kabum.com.br/produto/471225,Processador Intel 12900ks Core I9 (1700) 3.40 Ghz (turbo 5.50 Ghz) - Bx8071512900ks - 12ª Ger,"R$ 5.283,60"
https://www.kabum.com.br/produto/422167,"Processador Intel Core I5 13400, 2.50ghz, 10-core, LGA1700","R$ 2.362,41"
https://www.kabum.com.br/produto/442580,"Processador Intel Core I3 13100, 3.40ghz, Quad-core, LGA 1700","R$ 1.428,21"
https://www.kabum.com.br/produto/252600,"Processador Intel Core I9-10850K, 3.6GHz (5.2GHz), Cache 20MB, LGA 1200 - BX8070110850K","R$ 2.519,10"
https://www.kabum.com.br/produto/467742,"Processador Intel Celeron G4930, cache de 2MB, Oem","R$ 399,00"
https://www.kabum.com.br/produto/429952,Processador Intel 1155 Core I5 2400 3.1ghz/3MB S/ Cooler Tray 2º G I5-2400,"R$ 74,45"
https://www.kabum.com.br/produto/345382,"Processador AMD FX-4300, 3.8GHz, Cache 8MB, Quad Core, 4 Threads, AM3+, OEM","R$ 119,38"
https://www.kabum.com.br/produto/416281,"Processador Intel Core I3 7100, 3.9GHz, Cache 3MB, LGA 1151, Sem Cooler Tray","R$ 339,92"
https://www.kabum.com.br/produto/345299,"Processador Intel Core I5-3570, 3.40GHz, LGA 1155, OEM","R$ 209,13"
